GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Net,org.apache.commons.net.ftp,FTPListParseEngine,103,136,16,12,24,37,13,13,5,7
Apache Commons Net,org.apache.commons.net.ftp,FTPCmd,475,0,0,0,75,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.ftp,FTPConnectionClosedException,7,0,0,0,4,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.ftp,FTPClientConfig,87,377,1,9,22,93,5,27,4,23
Apache Commons Net,org.apache.commons.net.ftp,FTPClient,1968,292,248,30,521,92,255,23,128,11
Apache Commons Net,org.apache.commons.net.ftp,FTPSServerSocketFactory,46,0,0,0,9,0,6,0,6,0
Apache Commons Net,org.apache.commons.net.ftp,FTPFileFilters.new FTPFileFilter() {...},2,3,0,0,1,1,1,1,1,1
Apache Commons Net,org.apache.commons.net.ftp,FTPFileFilters.new FTPFileFilter() {...},0,9,0,2,0,2,0,3,0,2
Apache Commons Net,org.apache.commons.net.ftp,FTPFileFilters.new FTPFileFilter() {...},9,3,4,0,1,1,3,1,1,1
Apache Commons Net,org.apache.commons.net.ftp,FTPFileFilters,3,13,0,0,1,4,1,1,1,1
Apache Commons Net,org.apache.commons.net.ftp,FTPFile,284,156,33,5,59,54,27,25,8,24
Apache Commons Net,org.apache.commons.net.ftp,FTP,887,35,64,0,212,11,108,2,76,2
Apache Commons Net,org.apache.commons.net.ftp,FTPSTrustManager,29,0,2,0,7,0,6,0,5,0
Apache Commons Net,org.apache.commons.net.ftp,FTPSSocketFactory,76,0,0,0,13,0,10,0,10,0
Apache Commons Net,org.apache.commons.net.ftp,FTPClient.CSL,74,0,4,0,22,0,6,0,4,0
Apache Commons Net,org.apache.commons.net.ftp,FTPFileEntryParserImpl,0,8,0,0,0,4,0,3,0,3
Apache Commons Net,org.apache.commons.net.ftp,FTPClient.NatServerResolverImpl,0,26,1,3,0,10,1,3,0,2
Apache Commons Net,org.apache.commons.net.ftp,FTPSCommand,31,0,0,0,3,0,3,0,3,0
Apache Commons Net,org.apache.commons.net.ftp,FTPHTTPClient,411,0,38,0,86,0,26,0,7,0
Apache Commons Net,org.apache.commons.net.ftp,FTPClient.PropertiesSingleton,13,11,1,1,5,5,1,1,0,1
Apache Commons Net,org.apache.commons.net.ftp,FTPReply,60,0,24,0,6,0,18,0,6,0
Apache Commons Net,org.apache.commons.net.ftp,FTPSClient,749,0,88,0,211,0,94,0,50,0
Apache Commons Net,org.apache.commons.net.ftp,FTPCommand,20,171,1,1,3,9,2,2,1,2
Apache Commons Net,org.apache.commons.net.nntp,NNTPCommand,80,0,0,0,6,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.nntp,Article,406,0,68,0,100,0,65,0,31,0
Apache Commons Net,org.apache.commons.net.nntp,ArticleInfo,3,0,0,0,2,0,1,0,1,0
Apache Commons Net,org.apache.commons.net.nntp,NNTP,503,0,18,0,123,0,53,0,44,0
Apache Commons Net,org.apache.commons.net.nntp,ArticlePointer,3,0,0,0,1,0,1,0,1,0
Apache Commons Net,org.apache.commons.net.nntp,Threader,672,36,140,6,188,11,75,6,4,4
Apache Commons Net,org.apache.commons.net.nntp,NNTPReply,50,0,20,0,5,0,15,0,5,0
Apache Commons Net,org.apache.commons.net.nntp,SimpleNNTPHeader,125,0,4,0,31,0,9,0,7,0
Apache Commons Net,org.apache.commons.net.nntp,ArticleIterator,25,0,0,0,9,0,5,0,5,0
Apache Commons Net,org.apache.commons.net.nntp,NNTPConnectionClosedException,7,0,0,0,4,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.nntp,NewsgroupIterator,25,0,0,0,9,0,5,0,5,0
Apache Commons Net,org.apache.commons.net.nntp,ThreadContainer,133,0,28,0,32,0,18,0,4,0
Apache Commons Net,org.apache.commons.net.nntp,ReplyIterator,92,0,14,0,25,0,13,0,6,0
Apache Commons Net,org.apache.commons.net.nntp,NewsgroupInfo,50,0,0,0,19,0,14,0,14,0
Apache Commons Net,org.apache.commons.net.nntp,NewGroupsOrNewsQuery,302,0,30,0,85,0,24,0,9,0
Apache Commons Net,org.apache.commons.net.nntp,NNTPClient,1198,0,102,0,296,0,132,0,80,0
Apache Commons Net,org.apache.commons.net.discard,DiscardUDPClient,48,0,0,0,13,0,4,0,4,0
Apache Commons Net,org.apache.commons.net.discard,DiscardTCPClient,9,0,0,0,4,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.whois,WhoisClient,16,0,0,0,5,0,3,0,3,0
Apache Commons Net,org.apache.commons.net.echo,EchoUDPClient,49,0,0,0,11,0,5,0,5,0
Apache Commons Net,org.apache.commons.net.echo,EchoTCPClient,9,0,0,0,4,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.ntp,NTPUDPClient,12,62,1,1,4,19,4,2,3,2
Apache Commons Net,org.apache.commons.net.ntp,TimeInfo,93,242,18,28,23,60,14,23,0,14
Apache Commons Net,org.apache.commons.net.ntp,NtpV3Impl,9,657,6,32,2,132,6,61,0,48
Apache Commons Net,org.apache.commons.net.ntp,TimeStamp,76,258,12,18,17,57,14,23,4,18
Apache Commons Net,org.apache.commons.net.ntp,NtpUtils,68,44,13,8,17,14,15,4,3,2
Apache Commons Net,examples.ntp,SimpleNTPServer,38,200,10,10,15,57,11,10,2,9
Apache Commons Net,examples.ntp,TimeClient,81,0,6,0,31,0,7,0,4,0
Apache Commons Net,examples.ntp,NTPClient,408,0,36,0,78,0,22,0,4,0
Apache Commons Net,examples.cidr,SubnetUtilsExample,234,0,4,0,33,0,4,0,2,0
Apache Commons Net,examples.mail,IMAPUtils,144,0,14,0,34,0,9,0,2,0
Apache Commons Net,examples.mail,IMAPExportMbox,701,0,80,0,148,0,45,0,5,0
Apache Commons Net,examples.mail,POP3Mail,310,0,28,0,81,0,17,0,3,0
Apache Commons Net,examples.mail,IMAPImportMbox,371,0,52,0,80,0,33,0,7,0
Apache Commons Net,examples.mail,SMTPMail,198,0,14,0,61,0,9,0,2,0
Apache Commons Net,examples.mail,Utils,64,0,10,0,15,0,6,0,1,0
Apache Commons Net,examples.mail,IMAPExportMbox.new PrintCommandListener() {...},13,0,2,0,4,0,3,0,2,0
Apache Commons Net,examples.mail,IMAPMail,73,0,2,0,22,0,3,0,2,0
Apache Commons Net,examples.mail,IMAPExportMbox.MboxListener,375,0,30,0,80,0,18,0,3,0
Apache Commons Net,examples.telnet,TelnetClientExample,552,0,42,0,158,0,28,0,5,0
Apache Commons Net,examples.telnet,WeatherTelnet,35,0,0,0,16,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.pop3,POP3MessageInfo,49,0,0,0,12,0,5,0,5,0
Apache Commons Net,org.apache.commons.net.pop3,POP3Client,452,0,74,0,115,0,54,0,17,0
Apache Commons Net,org.apache.commons.net.pop3,ExtendedPOP3Client,163,0,13,0,27,0,10,0,3,0
Apache Commons Net,org.apache.commons.net.pop3,ExtendedPOP3Client.AUTH_METHOD,37,0,0,0,9,0,3,0,3,0
Apache Commons Net,org.apache.commons.net.pop3,POP3,279,0,18,0,79,0,24,0,15,0
Apache Commons Net,org.apache.commons.net.pop3,POP3SClient,282,0,24,0,84,0,35,0,23,0
Apache Commons Net,org.apache.commons.net.pop3,POP3Command,73,0,2,0,7,0,3,0,2,0
Apache Commons Net,org.apache.commons.net.util,SubnetUtils.SubnetInfo,96,239,3,19,14,36,5,29,3,20
Apache Commons Net,org.apache.commons.net.util,ListenerList,16,12,0,0,5,4,3,2,3,2
Apache Commons Net,org.apache.commons.net.util,Base64,656,1656,80,72,112,143,74,46,18,25
Apache Commons Net,org.apache.commons.net.util,SSLSocketUtils,78,0,8,0,17,0,5,0,1,0
Apache Commons Net,org.apache.commons.net.util,SubnetUtils,26,307,3,15,2,56,3,20,0,14
Apache Commons Net,org.apache.commons.net.util,TrustManagerUtils,35,0,0,0,10,0,5,0,5,0
Apache Commons Net,org.apache.commons.net.util,Charsets,11,7,2,2,2,1,3,2,2,1
Apache Commons Net,org.apache.commons.net.util,SSLContextUtils,46,0,4,0,10,0,4,0,2,0
Apache Commons Net,org.apache.commons.net.util,KeyManagerUtils,86,0,6,0,20,0,10,0,7,0
Apache Commons Net,org.apache.commons.net.util,TrustManagerUtils.TrustManager,31,0,4,0,9,0,6,0,4,0
Apache Commons Net,org.apache.commons.net.util,KeyManagerUtils.X509KeyManager,31,0,0,0,9,0,7,0,7,0
Apache Commons Net,org.apache.commons.net.util,KeyManagerUtils.ClientKeyStore,51,0,2,0,12,0,5,0,4,0
Apache Commons Net,org.apache.commons.net.finger,FingerClient,118,0,4,0,28,0,8,0,6,0
Apache Commons Net,org.apache.commons.net.chargen,CharGenTCPClient,9,0,0,0,4,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.chargen,CharGenUDPClient,65,0,0,0,15,0,4,0,4,0
Apache Commons Net,org.apache.commons.net.time,TimeTCPClient,0,28,0,0,0,6,0,3,0,3
Apache Commons Net,org.apache.commons.net.time,TimeUDPClient,126,0,0,0,18,0,5,0,5,0
Apache Commons Net,org.apache.commons.net,DatagramSocketClient,49,80,3,1,16,28,10,9,8,9
Apache Commons Net,org.apache.commons.net,DefaultSocketFactory,149,6,10,0,30,3,14,1,9,1
Apache Commons Net,org.apache.commons.net,PrintCommandListener,198,0,16,0,55,0,19,0,11,0
Apache Commons Net,org.apache.commons.net,ProtocolCommandSupport,60,15,4,0,12,5,6,2,4,2
Apache Commons Net,org.apache.commons.net,SocketClient,250,204,24,10,82,74,48,21,33,19
Apache Commons Net,org.apache.commons.net,ProtocolCommandEvent,51,0,2,0,17,0,8,0,7,0
Apache Commons Net,org.apache.commons.net,MalformedServerReplyException,7,0,0,0,4,0,2,0,2,0
Apache Commons Net,org.apache.commons.net,DefaultDatagramSocketFactory,6,12,0,0,1,3,1,3,1,3
Apache Commons Net,org.apache.commons.net.daytime,DaytimeUDPClient,55,0,0,0,10,0,3,0,3,0
Apache Commons Net,org.apache.commons.net.daytime,DaytimeTCPClient,51,0,2,0,12,0,3,0,2,0
Apache Commons Net,org.apache.commons.net.imap,IMAP.IMAPState,0,44,0,0,0,9,0,1,0,1
Apache Commons Net,org.apache.commons.net.imap,IMAPClient.SEARCH_CRITERIA,354,0,0,0,71,0,1,0,1,0
Apache Commons Net,org.apache.commons.net.imap,IMAPSClient,280,0,22,0,87,0,34,0,23,0
Apache Commons Net,org.apache.commons.net.imap,IMAPClient.STATUS_DATA_ITEMS,54,0,0,0,11,0,1,0,1,0
Apache Commons Net,org.apache.commons.net.imap,IMAP.new IMAP.IMAPChunkListener() {...},2,3,0,0,1,1,1,1,1,1
Apache Commons Net,org.apache.commons.net.imap,AuthenticatingIMAPClient.AUTH_METHOD,59,0,0,0,13,0,3,0,3,0
Apache Commons Net,org.apache.commons.net.imap,IMAPClient.FETCH_ITEM_NAMES,104,0,0,0,21,0,1,0,1,0
Apache Commons Net,org.apache.commons.net.imap,IMAP,327,92,32,6,90,20,34,6,18,3
Apache Commons Net,org.apache.commons.net.imap,IMAPReply,100,0,16,0,26,0,17,0,9,0
Apache Commons Net,org.apache.commons.net.imap,AuthenticatingIMAPClient,258,0,29,0,54,0,26,0,10,0
Apache Commons Net,org.apache.commons.net.imap,IMAPCommand,356,0,2,0,47,0,10,0,9,0
Apache Commons Net,org.apache.commons.net.imap,IMAPClient,417,0,34,0,70,0,44,0,27,0
Apache Commons Net,org.apache.commons.net.io,CRLFLineReader,63,0,10,0,17,0,7,0,2,0
Apache Commons Net,org.apache.commons.net.io,FromNetASCIIOutputStream,78,21,15,2,29,9,12,3,3,3
Apache Commons Net,org.apache.commons.net.io,CopyStreamException,18,0,0,0,6,0,3,0,3,0
Apache Commons Net,org.apache.commons.net.io,DotTerminatedMessageWriter,155,0,16,0,43,0,17,0,8,0
Apache Commons Net,org.apache.commons.net.io,SocketInputStream,13,0,0,0,6,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.io,DotTerminatedMessageReader,46,199,11,33,14,51,10,18,1,5
Apache Commons Net,org.apache.commons.net.io,FromNetASCIIInputStream,158,13,26,0,38,5,20,1,7,1
Apache Commons Net,org.apache.commons.net.io,ToNetASCIIInputStream,4,107,2,19,2,32,3,14,1,5
Apache Commons Net,org.apache.commons.net.io,CopyStreamEvent,53,0,0,0,13,0,5,0,5,0
Apache Commons Net,org.apache.commons.net.io,ToNetASCIIOutputStream,50,0,7,0,17,0,8,0,4,0
Apache Commons Net,org.apache.commons.net.io,CopyStreamAdapter,54,0,4,0,14,0,7,0,5,0
Apache Commons Net,org.apache.commons.net.io,SocketOutputStream,20,0,0,0,8,0,3,0,3,0
Apache Commons Net,org.apache.commons.net.io,Util,96,98,17,15,35,29,16,9,4,5
Apache Commons Net,org.apache.commons.net.smtp,SimpleSMTPHeader,30,134,5,13,7,31,5,8,1,3
Apache Commons Net,org.apache.commons.net.smtp,SMTPReply,50,0,20,0,5,0,15,0,5,0
Apache Commons Net,org.apache.commons.net.smtp,SMTPClient,189,0,26,0,49,0,32,0,19,0
Apache Commons Net,org.apache.commons.net.smtp,AuthenticatingSMTPClient.AUTH_METHOD,70,0,8,0,18,0,6,0,2,0
Apache Commons Net,org.apache.commons.net.smtp,SMTPSClient,322,0,22,0,87,0,34,0,23,0
Apache Commons Net,org.apache.commons.net.smtp,SMTP,398,0,26,0,103,0,45,0,32,0
Apache Commons Net,org.apache.commons.net.smtp,SMTPCommand,81,0,2,0,8,0,3,0,2,0
Apache Commons Net,org.apache.commons.net.smtp,RelayPath,71,0,4,0,19,0,5,0,3,0
Apache Commons Net,org.apache.commons.net.smtp,AuthenticatingSMTPClient,278,0,20,0,59,0,22,0,12,0
Apache Commons Net,org.apache.commons.net.smtp,SMTPConnectionClosedException,7,0,0,0,4,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.ftp.parser,MVSFTPEntryParser,130,237,33,27,35,66,23,18,2,9
Apache Commons Net,org.apache.commons.net.ftp.parser,CompositeFileEntryParser,0,51,0,8,0,14,0,6,0,2
Apache Commons Net,org.apache.commons.net.ftp.parser,VMSFTPEntryParser,16,244,1,26,5,64,2,19,1,6
Apache Commons Net,org.apache.commons.net.ftp.parser,NTFTPEntryParser,2,129,4,8,1,40,4,6,0,4
Apache Commons Net,org.apache.commons.net.ftp.parser,OS2FTPEntryParser,0,94,0,6,0,27,0,7,0,4
Apache Commons Net,org.apache.commons.net.ftp.parser,ConfigurableFTPFileEntryParserImpl,0,59,1,7,0,18,1,7,0,4
Apache Commons Net,org.apache.commons.net.ftp.parser,FTPTimestampParserImpl,41,417,12,41,13,114,16,32,4,15
Apache Commons Net,org.apache.commons.net.ftp.parser,NetwareFTPEntryParser,1,104,0,8,0,32,0,8,0,4
Apache Commons Net,org.apache.commons.net.ftp.parser,DefaultFTPFileEntryParserFactory,45,288,3,47,11,71,10,29,7,7
Apache Commons Net,org.apache.commons.net.ftp.parser,RegexFTPFileEntryParserImpl,59,78,5,5,12,21,6,8,3,6
Apache Commons Net,org.apache.commons.net.ftp.parser,VMSVersioningFTPEntryParser,6,126,3,13,3,39,3,9,0,4
Apache Commons Net,org.apache.commons.net.ftp.parser,UnixFTPEntryParser,8,281,3,29,5,86,3,22,0,7
Apache Commons Net,org.apache.commons.net.ftp.parser,MLSxEntryParser,106,423,25,42,31,95,23,22,2,5
Apache Commons Net,org.apache.commons.net.ftp.parser,EnterpriseUnixFTPEntryParser,2,150,1,5,2,45,1,4,0,2
Apache Commons Net,org.apache.commons.net.ftp.parser,OS400FTPEntryParser,4,216,6,36,2,62,6,20,0,5
Apache Commons Net,org.apache.commons.net.ftp.parser,ParserInitializationException,3,9,0,0,1,4,1,2,1,2
Apache Commons Net,org.apache.commons.net.ftp.parser,MacOsPeterFTPEntryParser,45,190,10,16,20,53,9,10,0,4
Apache Commons Net,org.apache.commons.net.bsd,RExecClient,188,0,16,0,49,0,18,0,10,0
Apache Commons Net,org.apache.commons.net.bsd,RLoginClient,29,0,0,0,8,0,3,0,3,0
Apache Commons Net,org.apache.commons.net.bsd,RCommandClient,198,0,20,0,53,0,20,0,10,0
Apache Commons Net,examples.nntp,PostMessage,211,0,22,0,71,0,13,0,2,0
Apache Commons Net,examples.nntp,ExtendedNNTPOps,169,0,18,0,34,0,12,0,3,0
Apache Commons Net,examples.nntp,NNTPUtils,29,0,2,0,6,0,3,0,2,0
Apache Commons Net,examples.nntp,MessageThreading,153,0,12,0,34,0,8,0,2,0
Apache Commons Net,examples.nntp,ListNewsgroups,98,0,10,0,30,0,7,0,2,0
Apache Commons Net,examples.nntp,ArticleReader,150,0,24,0,37,0,14,0,2,0
Apache Commons Net,examples,Main,169,0,18,0,48,0,12,0,3,0
Apache Commons Net,examples.ftp,FTPClientExample,1121,0,182,0,302,0,94,0,3,0
Apache Commons Net,examples.ftp,TFTPExample,382,0,32,0,119,0,22,0,6,0
Apache Commons Net,examples.ftp,FTPClientExample.new CopyStreamListener() {...},38,0,2,0,9,0,4,0,3,0
Apache Commons Net,examples.ftp,ServerToServerFTP,288,0,30,0,92,0,17,0,2,0
Apache Commons Net,examples.ftp,TFTPExample.new TFTPClient() {...},16,0,0,0,3,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.telnet,InvalidTelnetOptionException,0,22,0,0,0,5,0,2,0,2
Apache Commons Net,org.apache.commons.net.telnet,WindowSizeOptionHandler,1,120,1,11,1,42,1,8,0,3
Apache Commons Net,org.apache.commons.net.telnet,EchoOptionHandler,0,16,0,0,0,5,0,2,0,2
Apache Commons Net,org.apache.commons.net.telnet,TelnetOptionHandler,16,74,0,0,8,28,4,13,4,13
Apache Commons Net,org.apache.commons.net.telnet,Telnet,193,1130,71,121,51,286,65,79,4,44
Apache Commons Net,org.apache.commons.net.telnet,SuppressGAOptionHandler,0,16,0,0,0,5,0,2,0,2
Apache Commons Net,org.apache.commons.net.telnet,TelnetClient,32,160,6,12,13,53,10,23,5,19
Apache Commons Net,org.apache.commons.net.telnet,TerminalTypeOptionHandler,2,75,5,7,1,17,5,4,0,3
Apache Commons Net,org.apache.commons.net.telnet,TelnetInputStream,245,562,52,59,82,154,44,31,3,9
Apache Commons Net,org.apache.commons.net.telnet,TelnetOutputStream,64,77,11,5,21,24,8,7,0,6
Apache Commons Net,org.apache.commons.net.telnet,TelnetCommand,100,0,4,0,6,0,5,0,3,0
Apache Commons Net,org.apache.commons.net.telnet,TelnetOption,0,1046,0,4,0,38,0,5,0,3
Apache Commons Net,org.apache.commons.net.telnet,SimpleOptionHandler,0,16,0,0,0,5,0,2,0,2
Apache Commons Net,org.apache.commons.net.tftp,TFTPPacket,32,70,2,6,7,25,4,10,2,6
Apache Commons Net,org.apache.commons.net.tftp,TFTPClient,264,370,28,38,72,114,29,18,8,5
Apache Commons Net,org.apache.commons.net.tftp,TFTPPacketException,7,0,0,0,4,0,2,0,2,0
Apache Commons Net,org.apache.commons.net.tftp,TFTPWriteRequestPacket,19,13,0,0,1,4,1,2,1,2
Apache Commons Net,org.apache.commons.net.tftp,TFTP,39,115,0,0,13,32,3,7,3,7
Apache Commons Net,org.apache.commons.net.tftp,TFTPReadRequestPacket,19,13,0,0,1,4,1,2,1,2
Apache Commons Net,org.apache.commons.net.tftp,TFTPErrorPacket,90,146,3,5,12,31,5,6,2,5
Apache Commons Net,org.apache.commons.net.tftp,TFTPDataPacket,100,162,4,6,16,38,7,10,3,9
Apache Commons Net,org.apache.commons.net.tftp,TFTPAckPacket,60,92,1,1,8,21,3,5,2,5
Apache Commons Net,org.apache.commons.net.tftp,TFTPRequestPacket,84,261,6,12,13,51,7,9,1,6
Apache Commons Net,examples.util,IOUtil.new Thread() {...},22,0,0,0,7,0,2,0,2,0
Apache Commons Net,examples.util,IOUtil.new Thread() {...},29,0,4,0,7,0,4,0,2,0
Apache Commons Net,examples.util,IOUtil,35,0,0,0,12,0,2,0,2,0
Apache Commons Net,examples.unix,fwhois,106,0,4,0,28,0,4,0,2,0
Apache Commons Net,examples.unix,rshell,81,0,2,0,35,0,3,0,2,0
Apache Commons Net,examples.unix,rdate,82,0,6,0,30,0,7,0,4,0
Apache Commons Net,examples.unix,finger,199,0,14,0,56,0,9,0,2,0
Apache Commons Net,examples.unix,rexec,81,0,2,0,35,0,3,0,2,0
Apache Commons Net,examples.unix,echo,191,0,12,0,59,0,10,0,4,0
Apache Commons Net,examples.unix,rlogin,81,0,2,0,35,0,3,0,2,0
Apache Commons Net,examples.unix,chargen,125,0,12,0,50,0,10,0,4,0
Apache Commons Net,examples.unix,daytime,82,0,6,0,31,0,7,0,4,0
,Total:,,,,2766,984,6878,3052,,909,,
,Statement Coverage ,59%,,,,,,,,,,
,Branch Coverage,26%,,,,,,,,,,
,Cyclometric Complexity ,909,,,,,,,,,,
